ID,Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,detailed_category,broad_category,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields,"detailed__Mechanical, Manufacturing & Industrial Engineering","detailed__Civil, Structural & Construction Engineering","detailed__Electrical, Electronic & Communications Engineering","detailed__Chemical, Process & Petroleum Engineering","detailed__Materials, Mechatronics & General Engineering","detailed__Computer Science, Software & Information Systems","detailed__Computer Engineering, Embedded Systems & Robotics","detailed__Cybersecurity, Networks & Cloud Computing","detailed__Data Science, Artificial Intelligence & Machine Learning","detailed__Business Analytics, Decision Science & Intelligent Systems","detailed__Medicine, Dentistry & Clinical Medicine","detailed__Nursing, Midwifery & Patient Care","detailed__Allied Health, Physiotherapy & Rehabilitation","detailed__Pharmacy, Pharmacology & Pharmaceutical Sciences","detailed__Public Health, Nutrition & Health Management","detailed__Biological Sciences, Genetics & Molecular Biology","detailed__Biotechnology, Biomedical Sciences & Bioinformatics","detailed__Neuroscience, Microbiology & Life Science Research","detailed__Mathematics, Statistics & Actuarial Science","detailed__Physics, Astronomy & Space Science",detailed__Chemistry & Chemical Sciences,"detailed__Earth Sciences, Geology & Geophysics","detailed__Economics, Econometrics & Development Studies","detailed__Political Science, International Relations & Public Affairs","detailed__Sociology, Anthropology & Human Geography","detailed__Psychology, Counseling & Mental Health",detailed__Cognitive Science & Behavioral Science,"detailed__Business Administration, Management & Entrepreneurship","detailed__Finance, Accounting, Banking & Fintech","detailed__Marketing, Supply Chain, Logistics & Operations","detailed__Law, Legal Studies & Justice","detailed__Governance, Public Policy & International Law","detailed__Education, Teaching & Curriculum Studies","detailed__Educational Leadership, Special Education & Instruction","detailed__Architecture, Urban Planning & Built Environment","detailed__Graphic, Interior, Industrial & Fashion Design","detailed__Fine Arts, Visual Arts & Creative Practice","detailed__Music, Performing Arts & Creative Technology","detailed__Languages, Linguistics, Translation & Applied Languages","detailed__Literature, History, Philosophy & Religious Studies","detailed__Cultural Studies, Area Studies & Heritage","detailed__Environmental Science, Sustainability & Ecology","detailed__Agriculture, Forestry, Food Science & Natural Resources","detailed__Media, Communication, Journalism & Public Relations","detailed__Film, Digital Media, Advertising & Content Production","detailed__Hospitality, Tourism, Travel & Hotel Management","detailed__Sports Science, Exercise Science & Athletic Performance","detailed__Event Management, Recreation & Leisure Studies","detailed__Aviation, Aeronautics & Aerospace Transport","detailed__Maritime, Shipping, Logistics & Transport Systems","detailed__Interdisciplinary, Innovation & Emerging Studies"
1,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Computer Science &  Engineering,https://catalog.mit.edu/degree-charts/computer-science-Engineering and Technology -course-6-3/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Computer Science, Software & Information Systems",Computing & Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Electrical  Engineering & Computer Science,https://catalog.mit.edu/schools/Engineering and Technology /electrical-Engineering and Technology -computer-science/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Electrical, Electronic & Communications Engineering",Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Mechanical  Engineering ,https://catalog.mit.edu/degree-charts/mechanical-Engineering and Technology -course-2/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Mechanical, Manufacturing & Industrial Engineering",Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Aerospace  Engineering ,https://catalog.mit.edu/degree-charts/aerospace-Engineering and Technology -course-16/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Aviation, Aeronautics & Aerospace Transport","Transport, Aviation & Maritime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Biological/Bio Engineering,https://catalog.mit.edu/degree-charts/biological-Engineering and Technology -course-20/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Biotechnology, Biomedical Sciences & Bioinformatics",Life Sciences,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Mathematics,Department of Mathematics | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Mathematics, Statistics & Actuarial Science",Natural & Physical Sciences,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,physics,Physics (Course 8) | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Physics, Astronomy & Space Science",Natural & Physical Sciences,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Economics,Economics (Course 14-1) | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Economics, Econometrics & Development Studies",Social Sciences,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Cognitive Science,https://catalog.mit.edu/degree-charts/brain-cognitive-sciences-course-9/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,Cognitive Science & Behavioral Science,Psychology & Behavioral Sciences,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Management Science,https://catalog.mit.edu/degree-charts/management-course-15-1/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Business Administration, Management & Entrepreneurship",Business & Management,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Architecture,https://catalog.mit.edu/degree-charts/architecture-course-4/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Architecture, Urban Planning & Built Environment","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Art and Design,https://catalog.mit.edu/degree-charts/architecture-course-4-b/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Graphic, Interior, Industrial & Fashion Design","Arts, Design & Architecture",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Chemical?Biological  Engineering,https://catalog.mit.edu/degree-charts/chemical-biological-Engineering and Technology -course-10-b/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Chemical, Process & Petroleum Engineering",Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Artificial Intelligence and Decision Making,https://catalog.mit.edu/degree-charts/artifical-intelligence-decision-making-course-6-4/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,"Data Science, Artificial Intelligence & Machine Learning",Data Science & Artificial Intelligence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
