Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Category,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Computer Science &  Engineering,https://catalog.mit.edu/degree-charts/computer-science-Engineering and Technology -course-6-3/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Electrical  Engineering & Computer Science,https://catalog.mit.edu/schools/Engineering and Technology /electrical-Engineering and Technology -computer-science/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Mechanical  Engineering ,https://catalog.mit.edu/degree-charts/mechanical-Engineering and Technology -course-2/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Aerospace  Engineering ,https://catalog.mit.edu/degree-charts/aerospace-Engineering and Technology -course-16/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Biological/Bio Engineering,https://catalog.mit.edu/degree-charts/biological-Engineering and Technology -course-20/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Natural & Physical Sciences,Mathematics,Department of Mathematics | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Natural & Physical Sciences,physics,Physics (Course 8) | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Social Sciences,Economics,Economics (Course 14-1) | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Psychology & Behavioral Sciences,Cognitive Science,https://catalog.mit.edu/degree-charts/brain-cognitive-sciences-course-9/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Business & Management,Management Science,https://catalog.mit.edu/degree-charts/management-course-15-1/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
