student_id,program_name,uni_name
1,Business and Information Technology,Universitat Autònoma de Barcelona
1,Computer Science,Beirut Arab University
1,Computing in Science,Universität Hamburg
1,Data Science,University of Toronto
1,Industrial Computing and Robotics,Universitat Politecnica de Valencia
1,Software Engineering,Ludwig-Maximilians-Universität München
2,Business Analytics,University of Toronto
2,Finance,University of Cologne
2,Insurance,Ludwig-Maximilians-Universität München
2,Management and Digital Technologies,Ludwig-Maximilians-Universität München
3,Archaeology,Universitat de Barcelona
3,Linguistics and Applied Languages,Complutense University of Madrid
3,Modern Language and Literature,Universitat de Barcelona
4, Computer Science (Non-Thesis),McGill University
4, Management Information Systems ,University of British Columbia
4,Computer Science (Thesis),McGill University
4,Integrated Studies in Land and Food Systems ,University of British Columbia
5,Agricultural and Food Engineering,Universidade de Santiago de Compostela
5,Chemical Engineering,Universitat de Barcelona
5,Computer Engineering,Universitat de Valencia
5,Electronic Engineering and Telecommunications,Universitat de Barcelona
6,Accounting,American University of Science and Technology
6,Finance,American University of Science and Technology
6,General Management,Antoine University
6,Project Management,Jinan University
7,Biochemistry,Eberhard Karls Universität Tübingen
7,Chemistry,Technische Universität Berlin (TU Berlin)
7,Food Chemistry,Technical University of Munich
8,  Nursing (Non-Thesis),McGill University
8, Human Nutrition (Thesis),McGill University
8,Biological and Biomedical Engineering (Thesis),McGill University
8,Experimental Medicine (Thesis),McGill University
8,Family Medicine (Thesis),McGill University
9,Computer Science,Universidade de Santiago de Compostela
9,Computer Science (BSc) (Okanagan Campus),University of British Columbia
9,Computer Science (Non-Thesis),McGill University
9,Computer Science (Thesis),McGill University
10,Cooperation to the Development,Universitat Politecnica de Valencia
10,Economics,Universitat de Barcelona
10,Political Analysis,Complutense University of Madrid
11,Accounting,American University of Science and Technology
11,Banking and Finance,Islamic University of Lebanon
11,Business Administration,Islamic University of Lebanon
11,Business Management,Lebanese International University
11,Finance,American University of Science and Technology
12,Bioengineering,"KIT, Karlsruhe Institute of Technology"
12,Chemical Engineering,Technical University of Munich
12,Chemical and Biological Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg
12,Computer Engineering,Universität Heidelberg
12,Software Engineering,Ludwig-Maximilians-Universität München
13,French Language and Literature,Beirut Arab University
13,Islamic studies,American University of Beirut
13,Religious Studies,Saint Joseph University of Beirut
13,Translation,Saint Joseph University of Beirut
14,  Nursing (Non-Thesis),McGill University
14,Biological and Biomedical Engineering (Thesis),McGill University
14,Epidemiology (Thesis),McGill University
14,Pathology and Laboratory Medicine ,University of British Columbia
15,Business and Information Technology,Universitat Autònoma de Barcelona
15,Computer Engineering,Complutense University of Madrid
15,Computer Science,Universidade de Santiago de Compostela
18,Journalism,Jinan University
18,Music,Haigazian University
18,media studies,American University of Beirut
20,Design,Universitat de Barcelona
20,Industrial Design Engineering and Product Development,Universitat Politecnica de Valencia
20,the Fundamentals of Architecture,Universitat Politecnica de Valencia
22,Chemistry,Freie Universitaet Berlin
22,Chemistry,Universitat Ramon Llull
22,Chemistry and Biochemistry,Complutense University of Madrid
22,Mathematics,"KIT, Karlsruhe Institute of Technology"
22,Mathematics (Bachelor of Arts and Science),McGill University
26,Criminology,Universitat Autònoma de Barcelona
26,Law,Universitat Autònoma de Barcelona
26,Law and Labour Relations,Universitat Autònoma de Barcelona
27,Islamic studies,American University of Beirut
27,Islamology,Saint Joseph University of Beirut
27,Religious Studies,Saint Joseph University of Beirut
28, Degree Completion,University of Michigan-Ann Arbor
28, Music Education,Johns Hopkins University
28,Education Policy,University of Pennsylvania
29,Industrial Engineering,Lebanese International University
29,Materials Science,Ludwig-Maximilians-Universität München
29,Mechanical Engineering,Beirut Arab University
30,Computer Science,Eberhard Karls Universität Tübingen
30,IT Security,Friedrich-Alexander-Universität Erlangen-Nürnberg
30,Software Engineering,Ludwig-Maximilians-Universität München
31, Seniors Care ,University of British Columbia
31, Surgical and Interventional Sciences (Thesis),McGill University
31,Biochemistry (Thesis),McGill University
31,Biology (Thesis),McGill University
32,Educational Psychology,Universitat Autònoma de Barcelona
32,Experiential Humanist Psychotherapy and in Emotion Focused Therapy,Comillas Pontifical University
32,General Health Psychology,Universidad Autónoma de Madrid
32,Legal and Forensic Psychology,Universitat Autònoma de Barcelona
33,Analysis and Management of the Artistic Heritage,Universitat Autònoma de Barcelona
33,Business Administration and Management,Universitat Autònoma de Barcelona
33,Business Finance,Complutense University of Madrid
33,Business Research,Universitat de Barcelona
34,Bioresource Engineering (Thesis),McGill University
34,Cell and Developmental Biology ,University of British Columbia
34,Kinesiology ,University of British Columbia
35,Educational Psychology,Universitat Autònoma de Barcelona
35,Legal and Forensic Psychology,Universitat Autònoma de Barcelona
35,Psychology,Comillas Pontifical University
35,Psychology,Complutense University of Madrid
36, Degree Completion,University of Michigan-Ann Arbor
36,Education Policy,University of Pennsylvania
36,"Education, Culture, and Society",University of Pennsylvania
37, Physical Therapy (Non-Thesis),McGill University
37, Professional Kinesiology,University of Toronto
37,Kinesiology,McGill University
38,Architecture,"KIT, Karlsruhe Institute of Technology"
38,Architecture,Technical University of Munich
38,Architecture,Technische Universität Berlin (TU Berlin)
38,Architecture ,Technical University of Darmstadt
38,Musicology,Universität Heidelberg
39, Public Health Global Health Track,Yale University
39,Biomedical  Engineering,Yale University
39,Biomedical Engineering,Cornell University
39,Public Health Preventive Medicine Track,Yale University
40,Automatic Systems and Industrial Electronics Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
40,Civil Liability,Universidad Carlos III de Madrid (UC3M)
40,Geological Engineering,Complutense University of Madrid
40,Management Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
40,Mechanical Engineering,Universitat Politecnica de Valencia
41,Neuro Cognitive Psychology,Ludwig-Maximilians-Universität München
41,Psychology,Saint Joseph University of Beirut
41,Psychology,Universität Heidelberg
41,Psychology ,Goethe-University Frankfurt am Main
42,Applied Urban Science and Informatics,New York University (NYU)
42,Computer Science,Stanford University
42,Computer Science &  Engineering,Massachusetts Institute of Technology (MIT)
43,Bioinformatics,Freie Universitaet Berlin
43,Computer Engineering,Technische Universitأ¤t Berlin (TU Berlin)
43,Computer Engineering,Universität Heidelberg
43,Computing in Science,Universität Hamburg
43,Human Computer Interaction,Universit?t Hamburg
44,Advanced Materials,Universitat de Barcelona
44,Chemistry,University of Pennsylvania
44,"Electrochemistry, Science and Technology",Universitat Autònoma de Barcelona
44,Physics,Universitat de Barcelona
45,English (Non-Thesis),McGill University
45,English (Thesis),McGill University
45,Linguistics (Thesis),McGill University
45,Science of Religion,Universidad Carlos III de Madrid (UC3M)
45,Sciences of Religions,Complutense University of Madrid
46,Aerospace Engineering,Universidad Carlos III de Madrid (UC3M)
46,Aerospace Engineering,Universidad Politécnica de Madrid (UPM)
46,Marine Technologies,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
46,Nautical Science and Maritime Transport,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
47,Arabic Language and Literature,Saint Joseph University of Beirut
47,Art History (Thesis),McGill University
47,Classics,McGill University
48,Art Education ,University of British Columbia
48,Curriculum and Leadership ,University of British Columbia
48,Education Policy,University of Pennsylvania
48,"Education, Culture, and Society",University of Pennsylvania
49, Human Resources Management,New York University (NYU)
49,Business Administration,Universität Hamburg
49,Finance,Harvard University
50,Computer Science,Goethe-University Frankfurt am Main
50,Computer Science ,Technical University of Darmstadt
50,Data and Computer Science,Universität Heidelberg
50,Economic Systems,Freie Universitaet Berlin
50,Software Engineering,Ludwig-Maximilians-Universität München
51,Journalism,Ludwig-Maximilians-Universität München
51,Media and Communication Studies,Universität Hamburg
52, Physical Theory and Experimental Technique,University of Pennsylvania
52,Mathematics,Massachusetts Institute of Technology (MIT)
52,Mathematics,Yale University
52,physics,Massachusetts Institute of Technology (MIT)
53,Bioethics Law(Thesis),McGill University
53,Common Law,University of British Columbia
53,Law (Thesis),McGill University
54, Land and Water Systems,University of British Columbia
54, Software Systems,Columbia University
54,Computer Science ,Stanford University
54,Information Science,Cornell University
54,"Logic, Information, and Computation",University of Pennsylvania
55,Advanced Genetics,Universitat Autònoma de Barcelona
55,Hospital Clinical Optometry,Complutense University of Madrid
55,Microbiology and Immunology (Thesis),McGill University
55,Neuroscience (Thesis),McGill University
56,Archaeology,Universitat de Barcelona
56,French Language and Literature,Beirut Arab University
56,Islamology,Saint Joseph University of Beirut
56,Literary Studies,Complutense University of Madrid
56,Shariaa and islamic studies,Jinan University
57, Environmental  Engineering,Yale University
57,Materials Science and  Engineering,Stanford University
57,Mechanical  Engineering,Massachusetts Institute of Technology (MIT)
57,Software  Engineering,Harvard University
58,Education Studies,Universitat Autònoma de Barcelona
58,Kinesiology and Physical Education (Thesis),McGill University
58,Music Education (Thesis),McGill University
58,Pedagogy,University of Navarra
59,American History Culture and Society,Ludwig-Maximilians-Universität München
59,History ,Goethe-University Frankfurt am Main
59,Spanish,Universität Hamburg
60, Dental Hygiene,University of Michigan-Ann Arbor
60,Biological and Medical Sciences,Saint Joseph University of Beirut
60,Medical Physics,Beirut Arab University
60,Nursing Sciences,Antoine University
60,Public Health,University of Pennsylvania
61,Communication and Society in Ibero-America,Universität Heidelberg
61,Information and Communication Technology,Friedrich-Alexander-Universität Erlangen-Nürnberg
61,Journalism,Ludwig-Maximilians-Universität München
62,Biochemistry (Thesis),McGill University
62,Biology (Thesis),McGill University
62,Reproductive and Developmental Sciences ,University of British Columbia
63,Creative Writing & Literature,Harvard University
63,English,Harvard University
63,History,Harvard University
63,History of Art,University of Pennsylvania
64,Archaeology,Universitat de Valencia
64,Classical Studies,University of Pennsylvania
64,Discourse Studies,Universitat Autònoma de Barcelona
64,North American Studies,Complutense University of Madrid
65,Communication and Society in Ibero-America,Universität Heidelberg
65,Journalism,Ludwig-Maximilians-Universität München
65,Media and Communication Studies,Universität Hamburg
66,Business Analytics,Comillas Pontifical University
66,Computer Vision,Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
66,"Data Analysis, Process Improvement and Decision Support Engineering",Universitat Politecnica de Valencia
66,Data Engineering,Universitat Autònoma de Barcelona
66,Lifelong Learning in Airframe Technology,Universidad Carlos III de Madrid (UC3M)
67,Biochemistry (Thesis),McGill University
67,Biology,Technical University of Munich
67,Biology,Universität Hamburg
67,Biology (Thesis),McGill University
67,Microbiology and Immunology (Thesis),McGill University
68,Audiovisual Communication,Antoine University
68,Cinema,Saint Joseph University of Beirut
68,Digital Advertising,American University of Science and Technology
68,Information And Communication,Saint Joseph University of Beirut
69,Nonprofit Leadership,University of Pennsylvania
69,Tourism Management in Cultural Heritage,Universitat Autònoma de Barcelona
70,Biological and Biomedical Engineering (Thesis),McGill University
70,Family Medicine (Thesis),McGill University
70,Family and Community Medicine,University of Toronto
71,Computer Science,McGill University
71,Computer Science,University of British Columbia
71,Computer Science (Non-Thesis),McGill University
71,Computer Science (Thesis),McGill University
72,Arabic Language and Literature,American University of Beirut 
72,Creative Writing & Literature,Harvard University
72,Theological Sciences and Pastoral Studies ,Antoine University
