student_id,program_name,uni_name,rating,is_relevant
1, Philosophy,Johns Hopkins University,2,0
1,Advertising In Journalism and Radio/TV,Antoine University,3,0
1,Agriculture,American University of Beirut ,2,0
1,Applied Computer Science,University of Göttingen,4,1
1,Biomedical Engineering,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),1,0
1,Business Information Systems,University of Göttingen,3,1
1,Cognitive Science,Massachusetts Institute of Technology (MIT),2,0
1,Computer Engineering,Universität Heidelberg,4,1
1,Computer Science,Technische Universität Berlin (TU Berlin),3,1
1,Computer Science,Universität Heidelberg,5,1
1,Computer Science,Universität Heidelberg,3,1
1,Computer Science,Universität Stuttgart,4,1
1,Computer Science,Unversity of Balamand,2,0
1,Computer Science (BSc) (Honours) (Vancouver Campus),University of British Columbia,1,0
1,Computing in Science,Universität Hamburg,5,1
1,Data and Computer Science,Universität Heidelberg,4,1
1,Informatics,"KIT, Karlsruhe Institute of Technology",4,1
1,Liberal Arts ,Harvard University,2,0
1,Medical Informatics,Universität Heidelberg,4,1
1,Sociology,"University of California, Los Angeles (UCLA)",2,0
1,Software Engineering,Ludwig-Maximilians-Universität München,4,1
1,Software System Development,Universität Hamburg,5,1
2, Environmental  Engineering,Yale University,2,0
2, Geography (Thesis),McGill University,2,0
2,Advanced Mathematics,Complutense University of Madrid,2,0
2,Applied Research to Mass Media,Universidad Carlos III de Madrid (UC3M),2,0
2,Business Administration,Freie Universitaet Berlin,3,1
2,Business Administration,Goethe-University Frankfurt am Main,5,1
2,Business Management,Friedrich-Alexander-Universität Erlangen-Nürnberg,5,1
2,Computer Science,Cornell University,2,0
2,Finance,Johns Hopkins University,1,0
2,Finance,University of Cologne,5,1
2,Finance Accounting and Taxation,Freie Universitaet Berlin,5,1
2,Hotel Management,Universitat Autònoma de Barcelona,1,0
2,Insurance,Ludwig-Maximilians-Universität München,4,1
2,Management Ethics and Innovation in the Non Profit Sector,Universität Heidelberg,4,1
2,Management Ethics and Innovation in the Non Profit Sector,Universität Heidelberg,3,1
2,Management and Digital Technologies,Ludwig-Maximilians-Universität München,5,1
2,Music,Holy Spirit University of Kaslik,1,0
2,New Electronic and Photonic Technologies,Complutense University of Madrid,3,0
2,Photonics,Universitat Autònoma de Barcelona,1,0
3, Economics,University of Chicago,2,0
3,Advanced Studies in Catalan Language and Literature,Universitat Autònoma de Barcelona,4,1
3,Ancient Studies,Universitat Autònoma de Barcelona,4,1
3,Animal Science,Cornell University,2,0
3,Archaeology,Universitat de Barcelona,3,1
3,Archaeology,Universitat de Barcelona,4,1
3,Biochemistry,Lebanese International University,2,0
3,Biology ,Friedrich-Alexander-Universität Erlangen-Nürnberg,2,0
3,Catalan and Spanish,Universitat Autònoma de Barcelona,4,1
3,Economic History,Universitat Autònoma de Barcelona,5,1
3,Economics,Saint Joseph University of Beirut,1,0
