student_id,academic_level,preferred_location,study_mode,intensity,budget_min,budget_max,language,ielts,toefl,sat,broad_categories_interest,detailed_categories_interest
1,high_school,"Germany, Spain",oncampus,full-time,3000,8000,English,4,110,,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
2,undergraduate,Germany,oncampus,full-time,5000,12000,English,,,1100,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
3,high_school,Spain,online,part-time,2000,6000,English,5.5,,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
4,undergraduate,"USA, Canada",hybrid,full-time,10000,20000,English,,,1300,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
5,high_school,Spain,oncampus,full-time,4000,9000,English,,,1250,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
6,undergraduate,Lebanon,online,part-time,3000,7000,English,,78,,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
7,high_school,Germany,oncampus,full-time,2000,5000,English,,75,,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
8,undergraduate,"Canada, USA",hybrid,full-time,6000,15000,English,7.5,,,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
9,high_school,"USA, Canada",oncampus,full-time,8000,18000,English,6.5,,,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
10,undergraduate,Spain,online,part-time,3000,8000,English,6,,,Social Sciences,"Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
11,high_school,Lebanon,oncampus,full-time,2500,7000,English,6,,,Business & Management,"Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations"
12,undergraduate,Germany,hybrid,full-time,7000,14000,English,,90,,Engineering,"Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering"
13,high_school,Lebanon,oncampus,full-time,2000,6000,English,,70,,Humanities & Languages,"Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage"
14,undergraduate,"USA, Canada",oncampus,full-time,12000,25000,English,,105,,Health & Medicine,"Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management"
15,high_school,Spain,online,part-time,3000,7000,English,,,1200,Computing & Technology,"Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing"
16,high_school,"Spain, Lebanon","oncampus, online","full-time, part-time",3000,9000,English,,,1150,"Computing & Technology, Data Science & Artificial Intelligence","Computer Science, Software & Information Systems; Computer Engineering, Embedded Systems & Robotics; Cybersecurity, Networks & Cloud Computing; Data Science, Artificial Intelligence & Machine Learning; Business Analytics, Decision Science & Intelligent Systems"
17,undergraduate,"Germany, Canada","hybrid, oncampus",full-time,6000,15000,English,,,1250,"Engineering, Natural & Physical Sciences","Mechanical, Manufacturing & Industrial Engineering; Civil, Structural & Construction Engineering; Electrical, Electronic & Communications Engineering; Chemical, Process & Petroleum Engineering; Materials, Mechatronics & General Engineering; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
18,high_school,Lebanon,oncampus,full-time,2500,5000,English,5.5,,,Media & Communication,"Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
19,undergraduate,"USA, Canada","oncampus, hybrid",full-time,12000,26000,English,7,,,"Health & Medicine, Life Sciences","Medicine, Dentistry & Clinical Medicine; Nursing, Midwifery & Patient Care; Allied Health, Physiotherapy & Rehabilitation; Pharmacy, Pharmacology & Pharmaceutical Sciences; Public Health, Nutrition & Health Management; Biological Sciences, Genetics & Molecular Biology; Biotechnology, Biomedical Sciences & Bioinformatics; Neuroscience, Microbiology & Life Science Research"
20,high_school,Spain,oncampus,full-time,2000,7000,English,5.5,72,980,"Arts, Design & Architecture",
21,undergraduate,"Germany, Spain","online, hybrid",part-time,3000,9000,English,6.5,85,1200,"Business & Management, Social Sciences","Business Administration, Management & Entrepreneurship; Finance, Accounting, Banking & Fintech; Marketing, Supply Chain, Logistics & Operations; Economics, Econometrics & Development Studies; Political Science, International Relations & Public Affairs; Sociology, Anthropology & Human Geography"
22,high_school,USA,oncampus,full-time,20000,60000,English,7.5,100,1400,Natural & Physical Sciences,"Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
23,undergraduate,"Canada, USA","oncampus, online",part-time,10000,35000,English,,,,"Media & Communication, Arts, Design & Architecture","Media, Communication, Journalism & Public Relations; Film, Digital Media, Advertising & Content Production"
24,high_school,Germany,oncampus,full-time,2000,12000,English,,,,"Environment & Agriculture, Natural & Physical Sciences","Environmental Science, Sustainability & Ecology; Agriculture, Forestry, Food Science & Natural Resources; Mathematics, Statistics & Actuarial Science; Physics, Astronomy & Space Science; Chemistry & Chemical Sciences; Earth Sciences, Geology & Geophysics"
25,undergraduate,"Lebanon, Spain","online, oncampus",part-time,2500,8000,English,,,,"Humanities & Languages, Education","Languages, Linguistics, Translation & Applied Languages; Literature, History, Philosophy & Religious Studies; Cultural Studies, Area Studies & Heritage; Education, Teaching & Curriculum Studies; Educational Leadership, Special Education & Instruction"
26,high_school,Spain,online,full-time,1500,8500,English,5.1,74,1080,Law & Governance,"Law, Legal Studies & Justice"
27,undergraduate,Lebanon,oncampus,full-time,5000,9500,English,,98,,Humanities & Languages,"Literature, History, Philosophy & Religious Studies"
28,high_school,United States,oncampus,full-time,30500,68500,Arabic,6.6,94,1000,Education,"Educational Leadership, Special Education & Instruction; Education, Teaching & Curriculum Studies"
29,high_school,"Germany, Lebanon",online,part-time,0,9500,English,5.8,110,1480,Engineering,"Materials, Mechatronics & General Engineering; Civil, Structural & Construction Engineering"
30,high_school,"Germany, Spain",oncampus,full-time,0,2000,English,,,,Computing & Technology,"Computer Engineering, Embedded Systems & Robotics; Computer Science, Software & Information Systems"
31,undergraduate,Canada,oncampus,full-time,7500,29000,French,6,102,,Life Sciences,"Biological Sciences, Genetics & Molecular Biology"
32,undergraduate,Spain,online,full-time,1500,3500,French,,104,,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
33,undergraduate,Spain,oncampus,full-time,2000,11500,German,7.9,72,,Business & Management,"Business Administration, Management & Entrepreneurship"
34,undergraduate,Canada,oncampus,full-time,7000,28000,English,,104,,Life Sciences,"Neuroscience, Microbiology & Life Science Research; Biotechnology, Biomedical Sciences & Bioinformatics"
35,high_school,Spain,oncampus,full-time,1000,3500,English,,,1100,Psychology & Behavioral Sciences,"Cognitive Science & Behavioral Science; Psychology, Counseling & Mental Health"
36,high_school,"United States, Germany",oncampus,full-time,0,2000,French,,,,Education,"Education, Teaching & Curriculum Studies"
37,undergraduate,"Canada, United States",oncampus,full-time,15000,49000,English,,108,,Sports & Events,"Sports Science, Exercise Science & Athletic Performance; Event Management, Recreation & Leisure Studies"
